ProductID,Name,Winery,WineType,Year,Price,Region,Country,Rating,NumberOfRatings
p000212,Mineral Chardonnay 2016,Friedrich Becker,White Wine,2016,$40.28,Pfalz,,,
p000213,Cuvée 2014,Sierra Cantabria,Red Wine,2014,$16.9,Rioja,,,
p000214,Gevrey-Chambertin 2012,Domaine Thierry Mortet,Red Wine,2012,$34.89,Gevrey-Chambertin,,,
p000215,Les Lanes Corbières Rouge 2017,Famille Lignères - Château La Baronne,Red Wine,2017,$10.75,Corbières,,,
p000216,Brut Vintage Champagne (Cuvée Royale) 2004,Joseph Perrier,Sparkling Wine,2004,$60.08,Champagne,,,
p000217,Cava Stars Brut Nature 2016,Castillo Perelada,Sparkling Wine,2016,$12.59,Cava,,,
p000218,Brunello di Montalcino 2012,Biondi-Santi,Red Wine,2012,$139.4,Brunello di Montalcino,,,
p000219,Grêle Rouge 2012,Château de Roquefort,Red Wine,2012,$18.9,Méditerranée,,,
p000220,Tradition 2014,Domaine des Aires Hautes,Red Wine,2014,$6.9,Minervois,,,
p000221,Cuvée Oenophile Non Dose Extra Brut Champagne Premier Cru 2012,Pierre Gimonnet & Fils,Sparkling Wine,2012,$42.0,Champagne Premier Cru,,,
p000222,Heytesbury Chardonnay 2016,Vasse Felix,White Wine,2016,$72.73,Margaret River,,,
p000223,Vernaccia di San Gimignano 2018,Abbazia Monte Oliveto,White Wine,2018,$8.5,Vernaccia di San Gimignano,,,
p000224,Gran Reserva Rioja (Finca Ygay) 2012,Marqués de Murrieta,Red Wine,2012,$57.89,Rioja,,,
p000225,Fausto Chardonnay 2013,Pizzato,White Wine,2013,$11.5,Serra Gaúcha,,,
p000226,Neropasso Originale Veneto Rosso 2017,Biscardo,Red Wine,2017,$8.52,Veneto,,,
p000227,Lugana 2019,Cà Maiol,White Wine,2019,$9.75,Lugana,,,
p000228,Oak Cask Cabernet Sauvignon 2018,Trapiche,Red Wine,2018,$7.36,Mendoza,,,
p000229,Bentrock Chardonnay 2013,Sandhi,White Wine,2013,$89.0,Sta. Rita Hills,,,
p000230,Aglianico Riserva Contado 2013,Di Majo Norante,Red Wine,2013,$11.4,Molise,,,
p000231,Feteascá Neagrá 2018,Caloian,Red Wine,2018,$6.9,Dealu Mare,,,
p000232,Cosecha 2013,Maset del Lleó,Red Wine,2013,$6.09,Rioja,,,
p000233,Hereford Chardonnay 2019,Bodegas la Rosa,White Wine,2019,$5.53,Mendoza,,,
p000234,12 e Mezzo Negroamaro del Salento 2017,Varvaglione,Red Wine,2017,$7.31,Salento,,,
p000235,Monte Blanco Verdejo 2011,Monte Blanco,White Wine,2011,$5.95,Rueda,,,
p000236,Chardonnay Kreuth 2018,Terlan (Terlano),White Wine,2018,$16.39,Südtirol - Alto Adige,,,
p000237,Brut Apanage Prestige Champagne N.V.,Pommery,Sparkling Wine,N.V.,$65.49,Champagne,,,
p000238,Cava Reserva Semi Seco N.V.,Segura Viudas,Sparkling Wine,N.V.,$11.83,Cava,,,
p000239,Plavac Mali 2016,Križ,Red Wine,2016,$23.9,Dalmatian Coast,,,
p000240,Touriga Nacional 2016,Casa do Cónego,Red Wine,2016,$14.94,Lisboa,,,
p000241,Excellor Brut Rosé N.V.,Arunda,Sparkling Wine,N.V.,$24.5,Trentino-Alto Adige,,,
p000242,SMV (Shiraz - Mourvedre - Viognier) 2014,Lomond,Red Wine,2014,$12.9,Cape Agulhas,,,
p000243,Pinot Grigio 2018,Barefoot,White Wine,2018,600 cents,Napa Valley,,,
p000244,Saint-Émilion Grand Cru (Grand Cru Classé) 2014,Château Destieux,Red Wine,2014,$55.71,Saint-Émilion Grand Cru,,,
p000245,G 2015,4G Wine Estate,Red Wine,2015,$463.03,Western Cape,,,
p000246,Terroir du Trias Bandol Rouge 2006,Domaine de Terrebrune,Red Wine,2006,$59.9,Bandol,,,
p000247,Rouge (Gaston Hochar) 2000,Château Musar,Red Wine,2000,$36.55,Bekaa Valley,,,
p000248,Celeste Crianza 2017,Pago del Cielo,Red Wine,2017,$16.5,Ribera del Duero,,,
p000249,Viognier 2018,Paul Jaboulet Aîné,White Wine,2018,$7.7,Rhone Valley,,,
p000250,Sancerre Rosé 2018,Pascal Jolivet,Rose,2018,$18.72,Sancerre,,,
p000251,Reméage Blanc 2017,Les Vins de Vienne - Cuilleron-Gaillard-Villard,White Wine,2017,$9.5,Vin de France,,,
p000252,Dolcetto d’Alba dei Grassi 2017,Elio Grasso,Red Wine,2017,$16.62,Dolcetto d'Alba,,,
p000253,Estate Vineyards Cabernet Sauvignon 2018,Rust En Vrede,Red Wine,2018,$21.99,Stellenbosch,,,
p000254,Cabernet Franc 2018,Morgenster Estate,Red Wine,2018,$12.62,Stellenbosch,,,
p000255,Alma Cuvée Brut N.V.,Bellavista,Sparkling Wine,N.V.,$27.9,Franciacorta,,,
p000256,Coronata Integration 2016,Nitída,White Wine,2016,$17.5,Durbanville,,,
p000257,Domaine de Peyrat Grande Réserve 2018,Seigneurie de Peyrat,Red Wine,2018,$8.68,Pays d'Oc,,,
p000258,Le Manpôt Rouge 2017,Bassac,Red Wine,2017,$9.55,Côtes de Thongue,,,
